raw_signal,logical_signal
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1893_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1893_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1901_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1901_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1902_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1902_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1903_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1903_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1960_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_1960_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2688_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2688_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2705_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2705_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2790_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2790_coords
canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2800_coords,canvas_editor_editor_ehr_tarzanehrui_c_rectangle_line_2800_coords
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1911_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1911_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1920_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1920_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1953_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1953_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1954_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1954_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1981_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1981_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_1982_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_1982_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2720_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2720_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2727_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2727_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2736_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2736_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2809_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2809_text
canvas_editor_editor_ehr_tarzanehrui_c_text_line_2816_text,canvas_editor_editor_ehr_tarzanehrui_c_text_line_2816_text
canvas_editor_editor_ehr_tarzanehrui_canvas_image_line_712_coords,canvas_editor_editor_ehr_tarzanehrui_canvas_image_line_712_coords
canvas_editor_editor_ehr_tarzanehrui_canvas_rectangle_line_1244_coords,canvas_editor_editor_ehr_tarzanehrui_canvas_rectangle_line_1244_coords
canvas_editor_editor_ehr_tarzanehrui_canvas_window_line_1172_coords,canvas_editor_editor_ehr_tarzanehrui_canvas_window_line_1172_coords
canvas_editor_editor_ehr_tarzanehrui_item_text,canvas_editor_editor_ehr_tarzanehrui_item_text
canvas_editor_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_962_coords,canvas_editor_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_962_coords
canvas_editor_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_963_coords,canvas_editor_editor_ehr_tarzanehrui_protocol_canvas_rectangle_line_963_coords
canvas_editor_editor_ehr_tarzanehrui_row_window_coords,canvas_editor_editor_ehr_tarzanehrui_row_window_coords
canvas_editor_editor_ehr_tarzanehrui_save_button_window_coords,canvas_editor_editor_ehr_tarzanehrui_save_button_window_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_826_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_826_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_833_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_833_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_852_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_852_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_859_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_859_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_871_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_871_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_872_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_872_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_886_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_886_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_898_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_898_coords
canvas_editor_editor_tarzanaxissandbox_c_line_line_900_coords,canvas_editor_editor_tarzanaxissandbox_c_line_line_900_coords
canvas_editor_editor_tarzanaxissandbox_c_oval_line_868_coords,canvas_editor_editor_tarzanaxissandbox_c_oval_line_868_coords
canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_812_coords,canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_812_coords
canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_819_coords,canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_819_coords
canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_820_coords,canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_820_coords
canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_821_coords,canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_821_coords
canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_880_coords,canvas_editor_editor_tarzanaxissandbox_c_rectangle_line_880_coords
canvas_editor_editor_tarzanaxissandbox_c_text_line_827_text,canvas_editor_editor_tarzanaxissandbox_c_text_line_827_text
canvas_editor_editor_tarzanaxissandbox_c_text_line_834_text,canvas_editor_editor_tarzanaxissandbox_c_text_line_834_text
canvas_editor_editor_tarzanaxissandbox_c_text_line_873_text,canvas_editor_editor_tarzanaxissandbox_c_text_line_873_text
canvas_editor_editor_tarzanaxissandbox_c_text_line_874_text,canvas_editor_editor_tarzanaxissandbox_c_text_line_874_text
canvas_editor_editor_tarzanaxissandbox_c_text_line_901_text,canvas_editor_editor_tarzanaxissandbox_c_text_line_901_text
canvas_editor_editor_tarzanaxissandbox_c_text_line_902_text,canvas_editor_editor_tarzanaxissandbox_c_text_line_902_text
canvas_editor_editor_tarzanehrtakesandbox_canvas_image_line_553_coords,canvas_editor_editor_tarzanehrtakesandbox_canvas_image_line_553_coords
canvas_editor_editor_tarzanehrtakesandbox_item_text,canvas_editor_editor_tarzanehrtakesandbox_item_text
canvas_editor_editor_tarzanehrtakesandbox_protocol_canvas_rectangle_line_1057_coords,canvas_editor_editor_tarzanehrtakesandbox_protocol_canvas_rectangle_line_1057_coords
canvas_editor_editor_tarzanehrtakesandbox_protocol_canvas_rectangle_line_1058_coords,canvas_editor_editor_tarzanehrtakesandbox_protocol_canvas_rectangle_line_1058_coords
canvas_editor_editor_tarzanehrtakesandbox_protocol_title_id_text,canvas_editor_editor_tarzanehrtakesandbox_protocol_title_id_text
canvas_editor_editor_tarzanehrtakesandbox_row_window_coords,canvas_editor_editor_tarzanehrtakesandbox_row_window_coords
canvas_editor_editor_tarzanehrtakesandbox_save_button_window_coords,canvas_editor_editor_tarzanehrtakesandbox_save_button_window_coords
canvas_editor_editor_tarzantakeprotocollight_canvas_image_line_860_coords,canvas_editor_editor_tarzantakeprotocollight_canvas_image_line_860_coords
canvas_editor_editor_tarzantakeprotocollight_item_text,canvas_editor_editor_tarzantakeprotocollight_item_text
canvas_editor_editor_tarzantakeprotocollight_protocol_canvas_rectangle_line_1215_coords,canvas_editor_editor_tarzantakeprotocollight_protocol_canvas_rectangle_line_1215_coords
canvas_editor_editor_tarzantakeprotocollight_protocol_canvas_rectangle_line_1216_coords,canvas_editor_editor_tarzantakeprotocollight_protocol_canvas_rectangle_line_1216_coords
canvas_editor_editor_tarzantakeprotocollight_protocol_title_id_text,canvas_editor_editor_tarzantakeprotocollight_protocol_title_id_text
canvas_editor_editor_tarzantakeprotocollight_row_window_coords,canvas_editor_editor_tarzantakeprotocollight_row_window_coords
canvas_editor_editor_tarzantakeprotocollight_save_button_window_coords,canvas_editor_editor_tarzantakeprotocollight_save_button_window_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_827_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_827_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_834_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_834_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_841_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_841_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_853_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_853_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_854_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_854_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_868_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_868_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_880_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_880_coords
canvas_editor_ehr_tarzanaxissandbox_c_line_line_882_coords,canvas_editor_ehr_tarzanaxissandbox_c_line_line_882_coords
canvas_editor_ehr_tarzanaxissandbox_c_oval_line_850_coords,canvas_editor_ehr_tarzanaxissandbox_c_oval_line_850_coords
canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_813_coords,canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_813_coords
canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_820_coords,canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_820_coords
canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_821_coords,canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_821_coords
canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_822_coords,canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_822_coords
canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_862_coords,canvas_editor_ehr_tarzanaxissandbox_c_rectangle_line_862_coords
canvas_editor_ehr_tarzanaxissandbox_c_text_line_828_text,canvas_editor_ehr_tarzanaxissandbox_c_text_line_828_text
canvas_editor_ehr_tarzanaxissandbox_c_text_line_835_text,canvas_editor_ehr_tarzanaxissandbox_c_text_line_835_text
canvas_editor_ehr_tarzanaxissandbox_c_text_line_855_text,canvas_editor_ehr_tarzanaxissandbox_c_text_line_855_text
canvas_editor_ehr_tarzanaxissandbox_c_text_line_856_text,canvas_editor_ehr_tarzanaxissandbox_c_text_line_856_text
canvas_editor_ehr_tarzanaxissandbox_c_text_line_883_text,canvas_editor_ehr_tarzanaxissandbox_c_text_line_883_text
canvas_editor_ehr_tarzanaxissandbox_c_text_line_884_text,canvas_editor_ehr_tarzanaxissandbox_c_text_line_884_text
canvas_editor_ehr_tarzanehrui_c_image_line_3130_coords,canvas_editor_ehr_tarzanehrui_c_image_line_3130_coords
canvas_editor_ehr_tarzanehrui_c_line_line_1993_coords,canvas_editor_ehr_tarzanehrui_c_line_line_1993_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2002_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2002_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2013_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2013_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2020_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2020_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2048_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2048_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2049_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2049_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2068_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2068_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2080_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2080_coords
canvas_editor_ehr_tarzanehrui_c_line_line_2082_coords,canvas_editor_ehr_tarzanehrui_c_line_line_2082_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3081_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3081_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3102_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3102_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3105_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3105_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3145_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3145_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3153_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3153_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3161_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3161_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3176_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3176_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3217_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3217_coords
canvas_editor_ehr_tarzanehrui_c_line_line_3231_coords,canvas_editor_ehr_tarzanehrui_c_line_line_3231_coords
canvas_editor_ehr_tarzanehrui_c_oval_line_2044_coords,canvas_editor_ehr_tarzanehrui_c_oval_line_2044_coords
canvas_editor_ehr_tarzanehrui_c_oval_line_3194_coords,canvas_editor_ehr_tarzanehrui_c_oval_line_3194_coords
canvas_editor_ehr_tarzanehrui_c_oval_line_3210_coords,canvas_editor_ehr_tarzanehrui_c_oval_line_3210_coords
canvas_editor_ehr_tarzanehrui_c_polygon_line_3226_coords,canvas_editor_ehr_tarzanehrui_c_polygon_line_3226_coords
canvas_editor_ehr_tarzanehrui_c_rectangle_line_1976_coords,canvas_editor_ehr_tarzanehrui_c_rectangle_line_1976_coords
